card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active,client_name,sex
no,2,28,3.3,0.0,0.0,no,no,1,36,1,17,Derek Brown,Male
no,3,44,2.5,0.0,0.0,yes,no,2,62,1,18,Lisa Palmer,Female
yes,0,34,2.2,0.04,80.87,yes,no,2,4,1,10,Jason Davis,Male
yes,1,35,2.4,0.07,143.35,yes,no,0,27,1,18,Gregory Vazquez,Male
yes,0,22,2.7,0.05,105.28,no,no,0,15,1,7,Donald Wood,Male
yes,0,34,3.7,0.19,583.78,yes,yes,2,5,1,2,Angela Lewis,Female
no,5,27,2.12,0.0,0.0,no,no,0,44,1,10,Betty Phelps,Female
yes,0,34,6.2,0.18,950.86,yes,no,0,60,1,11,Fernando Roach,Male
yes,0,40,2.5,0.05,105.96,no,no,1,24,1,2,Andrew Gomez,Male
no,1,24,2.0,0.0,0.0,no,no,0,52,0,3,Roger Ingram,Not Declared
no,0,30,2.4,0.0,0.0,no,yes,2,72,1,11,Heather Miller,Female
yes,0,45,4.03,0.04,137.07,no,no,0,72,1,2,Michael Garza,Male
no,0,31,3.0,0.0,0.0,no,no,0,12,0,0,Christina Medina,Female
yes,0,24,2.9,0.0,0.31,yes,no,0,60,1,8,Leah Scott,Female
yes,0,27,1.99,0.06,100.14,yes,no,1,12,1,5,Robert Pollard,Male
yes,0,56,1.92,0.2,320.68,yes,yes,1,64,1,9,Corey Crawford,Male
yes,1,34,5.0,0.16,683.43,yes,yes,1,108,1,6,Nicole Malone,Female
no,2,32,2.16,0.0,0.0,yes,no,1,38,0,8,Jason Thomas,Male
yes,0,26,2.2,0.08,145.7,no,no,0,30,1,3,Melissa Wagner,Female
yes,0,20,2.24,0.05,93.92,no,no,0,27,1,1,David Myers,Male
no,2,40,2.4,0.0,0.0,no,no,0,72,1,6,Tanya Rodriguez,Female
yes,0,40,1.9,0.11,167.83,yes,no,3,108,1,17,Kelly Jacobs,Female
yes,0,25,5.5,0.15,703.41,yes,no,1,30,1,13,Ryan Boone,Male
no,0,32,2.16,0.0,0.0,no,no,0,42,0,0,Hannah Ramirez,Female
yes,2,26,7.0,0.22,1292.0,no,yes,0,13,1,31,Dr. Jimmy King,Male
no,3,36,2.6,0.0,0.0,yes,no,1,54,1,14,Michael Gray,Male
no,0,22,2.5,0.0,0.0,no,no,0,27,1,0,Sarah Johnson,Female
yes,0,28,3.9,0.08,248.91,no,no,0,48,1,10,Jessica Scott,Female
yes,0,49,5.2,0.02,71.53,yes,no,1,15,1,6,Timothy Webb,Male
yes,1,24,3.25,0.13,347.95,no,no,0,12,0,5,Heather Brown,Female
yes,0,32,3.6,0.0,4.58,no,no,0,25,1,2,Mark Solis,Male
yes,0,32,10.0,0.1,831.73,yes,no,3,7,1,28,Tiffany Martinez,Female
yes,0,36,3.7,0.03,101.76,yes,no,2,6,0,18,Tyler White,Male
yes,0,29,4.47,0.11,424.18,yes,yes,0,63,1,5,Michael Weiss,Male
no,0,36,5.2,0.0,0.0,yes,no,2,12,1,0,Travis Burton,Male
yes,0,22,4.8,0.06,232.28,no,no,2,2,1,4,Jose Stephens,Male
yes,0,61,1.5,0.27,335.56,yes,no,1,372,1,24,Cindy Spencer,Female
yes,0,54,1.5,0.02,20.18,no,no,0,24,0,1,Donald Richards,Male
no,0,25,1.85,0.0,0.0,no,no,0,14,1,0,Brittany Rodriguez PhD,Not Declared
yes,0,30,2.45,0.06,119.0,no,no,0,8,1,0,Karen Peck,Female
yes,0,27,1.89,0.04,69.03,no,no,0,51,1,12,Justin Tran,Male
yes,0,39,3.5,0.05,131.67,yes,no,2,113,0,13,Micheal Thompson,Male
no,0,24,2.79,0.0,0.0,no,no,0,4,1,0,Rachel Reynolds,Female
yes,0,47,4.5,0.14,523.12,yes,no,0,3,1,13,William Hunt,Male
no,4,24,2.8,0.0,0.0,no,no,0,12,1,7,Jeff Vaughn,Male
no,3,32,2.8,0.0,0.0,yes,no,3,106,0,11,Mary Silva,Female
yes,0,33,4.5,0.1,391.42,no,no,1,36,1,2,James Cooper,Male
yes,0,45,3.8,0.03,99.1,yes,no,1,90,1,3,Sandra Ward,Female
no,0,32,5.0,0.0,0.0,no,yes,0,14,1,0,Paul Figueroa,Male
yes,0,23,2.7,0.17,379.3,no,no,0,2,1,0,Tara Rivera,Female
no,2,25,2.5,0.0,0.0,no,yes,1,30,1,18,Lee Fowler,Male
yes,0,26,3.2,0.15,398.85,yes,no,2,12,1,0,Nicole Peterson,Female
yes,0,22,1.92,0.02,34.09,yes,no,2,12,1,21,Dr. Amanda Thomas,Female
yes,0,45,2.31,0.22,423.13,no,no,1,94,1,5,Stephen Pope,Male
no,0,29,1.7,0.0,0.0,no,no,1,28,1,0,John Nguyen,Male
yes,0,48,3.0,0.1,241.42,yes,no,2,120,0,3,Heather Washington,Female
yes,0,39,2.45,0.07,145.72,yes,no,3,38,1,8,Christopher Valentine MD,Male
yes,0,20,3.4,0.0,0.92,no,no,0,15,0,0,Adam Martinez,Male
yes,0,32,2.5,0.25,512.01,no,no,1,6,1,9,Louis Blankenship,Male
yes,0,39,3.0,0.13,318.51,yes,no,0,72,1,9,Maria Butler,Not Declared
yes,0,26,3.15,0.07,189.68,no,no,0,6,1,0,Michelle Day,Female
yes,0,27,3.5,0.07,194.47,no,no,0,6,1,0,Joyce Marshall,Female
yes,0,19,1.8,0.12,182.61,no,no,0,12,1,0,Bradley Prince,Male
yes,0,24,2.25,0.16,297.03,no,no,1,10,1,9,Kristen Atkins,Not Declared
yes,0,22,2.0,0.02,37.97,no,no,0,25,1,11,Michael Cruz,Male
yes,0,27,4.1,0.12,395.58,yes,no,2,41,1,14,George Raymond,Male
yes,0,23,2.97,0.08,204.54,no,no,0,4,1,7,Steven Lewis,Male
yes,0,41,5.5,0.03,148.37,yes,no,3,9,1,0,Michael Perry,Male
yes,0,27,3.15,0.06,170.47,yes,no,2,24,1,9,Sheila Ware,Female
yes,0,46,3.5,0.04,122.93,no,yes,2,48,1,1,Dylan Abbott,Male
yes,0,21,1.53,0.0,4.58,no,no,0,14,1,11,Amanda Mitchell,Female
yes,0,32,5.1,0.1,430.69,yes,no,0,38,1,10,Alexander Clayton,Male
yes,0,22,2.25,0.01,20.08,no,no,0,12,1,4,Brandon Bartlett,Male
yes,0,25,3.41,0.01,17.78,yes,no,1,7,1,6,Jill Moore,Female
yes,0,35,3.7,0.12,376.63,yes,no,1,12,1,0,Jacob Carter,Male
no,0,34,3.4,0.0,0.0,no,no,0,12,1,0,Jack Glenn,Male
yes,0,35,4.14,0.14,474.06,yes,no,0,12,1,18,Donald Walker,Male
no,4,38,4.8,0.0,0.0,yes,no,1,42,1,6,Kimberly Grant,Not Declared
yes,0,34,7.0,0.05,293.07,yes,no,3,3,1,0,Andrew Castillo,Male
yes,0,28,7.0,0.11,631.97,yes,yes,0,12,1,5,Daniel Beasley,Male
yes,1,29,2.2,0.04,69.79,no,no,0,49,1,7,Leon Glass DDS,Male
no,0,28,2.06,0.0,0.0,yes,no,0,31,0,12,Nicole Williams,Female
no,0,22,1.54,0.0,0.0,no,no,0,12,0,3,Jason Fowler,Male
no,3,36,4.0,0.0,0.0,yes,no,0,28,1,12,Carrie Hooper MD,Female
yes,0,43,10.5,0.0,8.75,yes,no,4,168,1,16,Scott Gonzalez,Male
yes,0,32,3.05,0.05,127.47,no,no,0,62,0,10,Anthony Spencer,Male
yes,1,56,3.48,0.06,182.1,yes,no,0,540,1,7,Elizabeth Hines,Female
yes,0,24,3.0,0.0,6.15,yes,no,2,18,1,6,Donald Payne,Male
yes,0,34,5.1,0.1,412.19,yes,no,4,3,1,0,Joshua Fuentes,Male
yes,0,53,2.45,0.02,35.67,yes,no,0,3,1,11,Robert Burgess,Male
yes,0,31,2.0,0.12,205.94,yes,no,1,42,0,6,Michael Curtis,Male
yes,0,54,4.0,0.01,43.97,yes,no,1,188,1,13,Grant Newman,Male
yes,0,45,3.48,0.06,188.1,yes,yes,1,16,1,21,Bradley Hudson,Male
yes,0,20,2.0,0.0,7.08,yes,yes,0,18,0,3,Lisa Oliver,Female
yes,0,27,2.15,0.27,484.44,no,no,0,6,1,12,Shane Wallace,Male
no,0,37,4.47,0.0,0.0,no,no,2,60,1,15,Tina Galvan,Female
yes,0,33,1.7,0.01,8.78,no,no,0,146,1,17,Jose Douglas,Male
yes,0,28,3.0,0.07,174.92,no,no,0,18,1,11,John Austin,Male
yes,0,27,2.36,0.01,21.33,yes,no,2,6,1,5,Anthony King,Male
yes,0,50,4.5,0.1,361.0,yes,no,2,301,1,11,Jason Ball,Male
yes,0,48,3.7,0.04,114.6,yes,no,2,192,0,7,Martin Smith,Male
yes,0,25,5.5,0.02,113.3,yes,yes,0,16,1,0,Matthew Hughes,Male
yes,0,30,3.37,0.01,33.51,yes,no,0,10,1,9,Robert Washington,Male
yes,0,63,5.5,0.02,93.62,yes,no,1,192,1,15,Monica Rodriguez,Female
no,1,32,6.0,0.0,0.0,yes,no,4,18,1,4,Steven Warner,Male
yes,0,28,6.9,0.07,415.81,yes,no,0,14,1,0,Teresa Mcmahon,Female
yes,0,28,2.75,0.38,875.89,yes,no,1,3,1,3,Stacy Gaines PhD,Female
yes,0,0,2.5,0.08,173.02,no,no,0,150,1,5,Karen Evans,Female
yes,0,25,2.0,0.0,7.42,no,no,0,26,1,13,Dakota Brown,Male
yes,0,21,2.69,0.07,165.93,no,no,3,85,1,12,Tony Estes,Male
yes,0,27,2.68,0.01,15.58,no,no,4,36,1,4,James Swanson,Male
yes,0,22,1.8,0.12,178.92,no,no,0,6,0,2,Clayton Johnson,Male
yes,0,25,1.56,0.04,44.94,no,no,1,12,1,0,David Rose,Male
yes,0,20,1.5,0.12,149.55,no,no,0,3,1,3,Samantha Daniel,Female
yes,0,25,1.88,0.0,3.75,no,no,0,4,1,5,Kevin Howard,Male
no,2,36,2.52,0.0,0.0,yes,no,0,77,1,9,Kristine Mendoza,Female
yes,0,19,2.23,0.04,82.92,no,no,0,133,0,5,Michael Montes,Male
no,0,31,1.78,0.0,0.0,no,no,0,14,1,0,Cody Lewis,Male
yes,0,29,4.01,0.0,8.33,no,no,0,120,1,15,Jane Mcintyre,Not Declared
yes,0,51,12.5,0.3,3099.5,yes,no,1,120,1,21,Katie Campbell,Female
yes,0,31,1.6,0.23,300.46,no,no,0,6,1,8,Christina Alexander,Female
yes,0,46,5.0,0.03,112.92,yes,no,1,7,1,7,Kristen Graves,Female
yes,0,24,2.28,0.05,94.14,yes,no,2,31,1,6,Anthony Barnett,Male
yes,0,54,3.4,0.08,215.44,no,no,1,12,1,7,Sandy Stewart,Female
yes,0,21,1.75,0.02,35.17,yes,no,0,131,1,3,Tony Walker,Male
yes,0,27,3.25,0.01,22.46,yes,no,0,48,1,6,Maria Ramos,Female
yes,0,45,3.9,0.09,294.58,no,no,0,120,1,12,Isabel Robinson MD,Female
no,0,35,1.85,0.0,0.0,no,no,0,62,0,0,Kevin Jenkins,Male
yes,0,40,4.0,0.0,10.29,yes,no,1,84,1,9,George Rosales,Not Declared
yes,0,54,4.3,0.18,632.08,yes,no,1,120,1,6,Matthew Holland,Male
yes,0,28,3.5,0.11,326.57,yes,no,2,48,0,7,Andrea Miller,Female
yes,1,34,8.1,0.11,747.67,yes,yes,3,36,1,15,Melissa Lee,Female
yes,1,30,4.0,0.05,170.18,yes,no,5,28,1,7,Bryan Quinn,Male
yes,1,33,2.0,0.91,1510.53,no,no,0,12,1,5,Susan Huang,Female
no,0,0,3.0,0.0,0.0,no,no,0,18,0,2,Matthew Anderson,Male
yes,0,51,5.3,0.04,191.7,no,no,1,108,1,2,Hannah Kirby,Female
no,7,25,2.6,0.0,0.0,no,no,3,36,1,11,Steve Miller,Male
yes,0,27,2.52,0.09,188.19,no,no,1,12,1,0,John Knight,Male
no,0,23,2.2,0.0,0.0,no,no,0,31,0,0,Melanie Gregory,Female
yes,0,29,2.5,0.53,1096.66,no,no,0,12,1,14,Gilbert Ford,Male
yes,0,33,3.5,0.09,276.98,no,no,0,4,1,13,Charles Phillips,Male
no,1,30,4.35,0.0,0.0,no,no,0,28,1,5,Brian Hopkins,Male
no,0,38,1.6,0.0,0.0,no,no,0,51,1,1,Bryce James,Male
yes,0,32,2.0,0.02,38.36,no,no,2,24,1,4,Mario Gardner,Male
yes,1,43,4.8,0.37,1482.37,yes,no,0,3,1,4,Diane Smith,Female
yes,0,29,3.0,0.02,45.88,yes,no,2,28,1,4,Charles Morales,Male
yes,0,62,1.64,0.05,64.07,yes,no,0,270,0,1,Charles Thomas,Male
no,2,35,2.9,0.0,0.0,no,no,1,102,1,21,Natalie Hale,Female
yes,0,21,2.38,0.02,35.17,no,no,0,7,0,5,Brandon Villa,Male
yes,0,38,2.3,0.07,129.42,yes,no,0,3,1,3,Richard Mccarthy,Male
yes,0,39,8.1,0.1,663.77,yes,no,3,43,1,13,Michael Johnson,Male
no,2,40,3.57,0.0,0.0,no,yes,0,31,1,7,Casey Kerr,Male
no,0,34,1.94,0.0,0.0,no,no,1,54,1,1,Annette Sanford,Female
yes,0,34,2.75,0.03,75.63,yes,no,0,151,1,11,John Dunn,Male
yes,0,28,3.5,0.0,3.75,yes,no,1,31,1,7,Sean Obrien,Male
yes,0,47,7.0,0.05,301.25,yes,no,1,144,1,8,Sara Fuller,Female
yes,0,28,2.8,0.1,224.58,no,no,0,5,0,1,John Rosales,Male
yes,0,22,1.95,0.04,60.58,no,no,0,3,1,0,Michael Mcclain,Male
no,0,45,6.5,0.0,0.0,no,no,2,34,1,9,Lindsey Jackson,Female
yes,0,22,2.5,0.24,498.93,no,no,0,2,1,0,Kimberly Miller,Female
yes,1,37,3.0,0.0,8.33,no,no,0,60,1,9,Jessica Cannon,Female
yes,0,27,1.8,0.07,105.51,yes,no,2,6,1,4,Charles Pope,Male
yes,0,39,2.6,0.03,56.33,yes,no,3,70,1,9,Erica Williams,Not Declared
yes,0,51,3.6,0.07,212.48,yes,no,1,125,1,13,Michael Mckee,Male
yes,0,23,2.3,0.01,14.33,no,no,2,14,0,0,Joshua Thornton,Male
no,1,21,1.78,0.0,0.0,no,no,0,5,1,1,Wendy Thomas,Female
yes,0,21,3.86,0.0,0.0,yes,yes,0,18,1,8,Kyle Stevens,Male
yes,0,45,4.9,0.01,58.93,yes,no,2,159,1,4,Matthew Newton,Not Declared
no,0,39,3.6,0.0,0.0,no,no,0,14,0,0,James Barry,Male
yes,0,42,3.24,0.02,66.26,yes,no,2,36,1,3,Michael Wiley,Male
no,2,27,1.85,0.0,0.0,no,no,0,24,1,12,Holly Harris,Female
yes,0,25,1.85,0.06,91.96,yes,no,0,24,1,9,Lisa Williams,Female
yes,0,25,1.56,0.17,215.88,no,no,0,12,1,0,Joseph Mcgee,Male
yes,0,31,4.08,0.01,22.99,yes,no,1,101,1,9,Lisa Buchanan,Female
no,5,25,3.3,0.0,0.0,yes,no,1,75,1,23,Shane Mayer,Male
yes,0,24,2.51,0.11,240.38,no,no,0,10,1,12,Micheal Walsh,Male
yes,0,28,4.38,0.02,89.96,yes,no,1,84,0,1,Thomas Soto,Male
yes,0,26,2.35,0.06,126.65,no,no,1,26,1,2,Isabella Bush,Female
yes,0,20,4.0,0.04,140.35,yes,no,0,24,1,4,Bruce Vazquez,Male
no,2,35,5.1,0.0,0.0,yes,no,1,63,1,8,Lisa Summers,Female
yes,0,32,3.0,0.12,294.56,yes,no,2,9,1,0,Richard Cooper,Male
yes,0,28,3.5,0.02,68.36,yes,no,5,42,1,12,Cassandra Conner,Female
yes,0,39,3.5,0.03,101.49,yes,no,0,12,1,0,Billy Nelson,Male
yes,0,34,5.5,0.24,1088.74,yes,no,4,12,1,0,David Johnson,Male
yes,0,51,3.8,0.02,47.79,yes,no,1,51,1,5,Diane Hall,Female
yes,0,22,1.79,0.03,50.03,no,no,0,3,1,0,Brian Arias,Male
yes,0,38,5.1,0.08,344.01,yes,no,3,126,1,17,Corey Watson,Male
yes,0,46,8.94,0.03,188.3,yes,no,0,96,1,17,Dr. Crystal Palmer,Female
yes,0,50,7.1,0.04,245.35,yes,no,2,12,1,0,Daniel House,Male
yes,0,32,2.4,0.14,285.28,yes,no,0,96,0,8,Anthony King,Male
yes,1,30,3.3,0.01,17.58,no,no,0,19,1,12,Krista Stevens,Female
yes,0,38,6.5,0.29,1569.68,yes,no,4,117,1,18,Jason Mitchell,Male
yes,0,39,4.81,0.01,43.74,yes,no,1,8,1,9,Kirsten White,Female
yes,0,39,3.0,0.02,55.76,yes,yes,1,132,1,22,Eric Simon,Male
yes,0,41,2.7,0.04,97.51,yes,no,2,28,1,11,William Allen,Not Declared
yes,0,38,5.4,0.01,58.05,yes,yes,0,108,1,17,Carl Watson,Male
yes,0,37,8.12,0.03,213.13,yes,yes,3,120,1,5,Christopher Weber,Male
yes,0,27,3.04,0.04,96.0,no,no,0,13,1,0,Jack Morrison,Male
yes,1,29,2.08,0.04,61.2,yes,no,2,12,1,11,Edward Hill,Male
yes,0,28,1.51,0.0,0.0,no,no,0,44,1,15,Matthew Maddox,Male
no,1,31,3.0,0.0,0.0,yes,no,2,51,1,2,Charles Wise,Male
yes,0,30,2.6,0.3,640.65,yes,no,0,25,1,4,Jessica Taylor,Female
yes,0,37,2.5,0.03,61.74,yes,no,2,120,0,4,Wendy Howard,Not Declared
yes,0,44,3.5,0.01,34.53,yes,no,1,33,1,13,Susan Fields,Female
yes,0,25,2.4,0.11,213.29,no,no,0,5,1,10,Sean Cole,Male
yes,0,26,2.32,0.01,14.0,no,no,0,2,1,0,Amy Anderson,Female
yes,0,46,2.58,0.08,164.64,yes,no,2,120,0,15,Jimmy Powell,Male
yes,0,28,2.1,0.09,158.61,yes,no,1,24,0,11,Douglas Schneider,Male
yes,0,38,2.35,0.07,133.97,no,no,1,72,1,8,David Hill,Male
yes,0,46,2.8,0.0,0.0,yes,no,1,84,1,2,Richard Aguilar,Male
no,2,52,3.7,0.0,0.0,no,no,4,1,1,6,Lindsay Russell,Female
no,0,37,1.68,0.0,0.0,yes,no,3,120,0,8,Christina Bullock,Female
no,0,25,2.64,0.0,0.0,no,no,0,24,1,33,Bradley Miller,Male
yes,1,28,2.3,0.03,66.3,yes,no,1,24,1,14,Stacy Clark,Female
yes,2,35,6.89,0.01,58.51,yes,no,0,5,1,18,Robert Bishop,Male
no,4,25,4.0,0.0,0.0,no,no,0,36,1,32,Donna Lopez,Female
yes,0,28,2.0,0.06,100.42,yes,no,1,38,0,8,Mr. Carl Gutierrez,Male
no,0,19,1.97,0.0,0.0,no,no,1,24,1,2,Bryan Schneider,Male
yes,0,25,3.0,0.01,25.51,no,no,2,3,1,11,Russell Knight,Male
yes,0,26,2.75,0.18,420.58,yes,no,1,6,1,11,Justin Neal,Male
yes,0,31,5.0,0.07,309.91,yes,no,2,12,1,12,Tom Ramirez,Male
yes,0,33,2.1,0.04,78.26,no,no,4,12,1,0,Lynn Daniel,Female
yes,0,27,4.0,0.04,123.22,yes,no,2,2,1,0,Ronnie Mason,Male
yes,1,48,3.0,0.03,79.18,yes,yes,0,180,1,12,Jose Thompson,Male
yes,0,36,3.3,0.16,431.14,no,no,0,3,1,0,David Owens,Male
no,3,45,2.35,0.0,0.0,no,no,0,36,1,15,Miranda Nelson,Female
no,2,53,2.16,0.0,0.0,no,yes,0,74,0,5,Jason Collins,Male
yes,0,27,3.9,0.04,134.39,yes,no,3,12,1,6,Thomas Clark,Male
yes,0,40,2.31,0.03,54.97,no,no,1,158,1,9,Charles Hughes,Male
yes,0,49,1.7,0.0,0.0,no,no,1,14,0,6,Paul Jensen,Male
yes,0,40,2.0,0.07,120.56,no,no,0,24,1,4,Andrew Gomez,Male
yes,0,23,4.8,0.08,320.49,no,yes,0,42,1,2,Jeffrey Gregory,Male
yes,0,34,3.0,0.54,1352.49,yes,no,0,72,1,3,John King,Male
yes,0,21,1.56,0.07,87.15,no,no,0,24,0,5,Kathleen Zuniga,Female
yes,0,39,2.0,0.05,81.26,yes,no,2,200,1,9,Ronald Brock,Male
yes,0,24,2.6,0.3,643.32,no,no,1,10,1,11,Joseph Harris,Male
yes,0,47,4.68,0.03,134.92,yes,no,1,210,1,6,Aaron Mora,Male
yes,0,34,4.0,0.26,860.76,no,yes,0,204,0,6,Jackson Cunningham,Male
yes,0,52,1.87,0.06,85.98,yes,no,0,250,1,4,Mark Diaz,Male
yes,3,47,3.1,0.18,463.15,no,no,0,24,1,15,Michael Meyer,Male
yes,0,25,2.8,0.06,134.2,no,no,0,6,0,3,Vanessa Weaver,Female
yes,0,24,2.04,0.11,192.72,no,no,0,109,1,5,Frederick Williams,Male
yes,0,24,2.1,0.32,562.36,no,no,0,28,1,5,Emily Walker,Female
yes,0,22,2.0,0.16,274.95,no,no,0,13,1,7,Tanner Murphy,Male
yes,0,33,5.6,0.09,398.05,yes,no,4,84,1,4,Raymond Yates,Male
yes,0,38,3.0,0.05,124.48,yes,no,1,84,1,11,Derrick Wong,Male
yes,0,22,2.4,0.08,163.42,no,no,0,23,1,0,Stephen Stewart,Male
yes,0,23,1.85,0.06,93.31,no,no,0,4,1,1,Renee Hudson,Female
yes,0,24,2.9,0.05,113.25,yes,no,0,60,1,3,James Randolph,Male
no,0,26,2.0,0.0,0.0,no,yes,1,63,1,2,Leslie Davis,Not Declared
yes,0,52,1.89,0.02,37.43,no,no,0,240,1,6,Ricky Davis,Male
yes,0,20,2.0,0.2,341.24,no,no,0,24,1,7,Anthony Barton,Male
yes,0,25,1.64,0.37,508.29,no,no,0,19,1,9,Katie Cortez,Female
no,4,22,2.34,0.0,0.0,no,no,0,61,1,6,Joshua Fry,Not Declared
yes,0,24,1.9,0.27,432.36,no,no,0,19,1,6,Mark Ballard,Male
yes,0,21,1.53,0.04,46.29,yes,no,0,22,1,11,Randall Harper,Male
yes,0,22,3.99,0.08,253.63,no,no,0,268,1,2,Joshua Johns,Male
yes,0,46,1.6,0.05,61.74,no,no,0,162,1,11,Kevin Mack,Male
yes,0,19,1.8,0.08,125.89,no,no,0,3,1,0,Troy Larsen,Male
yes,1,29,3.7,0.6,1836.98,no,no,0,24,1,7,Jennifer Reynolds,Female
yes,0,28,2.1,0.01,15.58,no,no,0,28,1,5,Raymond Williams,Male
yes,0,26,2.0,0.03,51.75,no,no,1,6,1,1,Christopher Wilkins,Male
no,1,44,2.6,0.0,0.0,yes,no,0,48,1,1,James Larson,Male
yes,0,27,2.68,0.03,77.29,yes,no,0,135,1,0,Ashley Cox,Female
no,1,30,4.16,0.0,0.0,yes,yes,2,37,1,15,Kenneth Gomez,Male
yes,0,24,2.1,0.14,240.48,no,no,1,24,1,5,Kendra Duncan,Female
yes,0,28,2.4,0.03,67.4,no,no,1,24,1,4,Alex Miller,Male
yes,0,39,3.12,0.03,69.27,yes,yes,2,66,1,5,Eric Anderson,Male
yes,0,31,3.0,0.07,172.57,yes,no,1,24,1,13,Jordan Flynn,Male
yes,0,40,3.12,0.08,199.0,yes,no,1,60,1,11,Kevin Middleton,Male
no,3,23,1.62,0.0,0.0,no,no,1,144,0,4,Christopher Ritter,Male
yes,0,43,4.37,0.04,160.48,yes,no,2,110,1,10,Hannah Lopez,Female
no,0,25,2.53,0.0,0.0,no,no,0,14,1,3,Christian Williams,Male
no,2,40,3.1,0.0,0.0,yes,no,1,66,1,5,Eddie White,Not Declared
no,7,32,2.72,0.0,0.0,no,no,1,60,0,10,Jesus Estrada,Male
yes,0,42,4.04,0.01,44.41,no,no,0,5,1,6,Jeffrey Ochoa,Male
yes,0,47,2.75,0.21,492.26,no,no,0,156,0,11,Isaiah Norman,Male
yes,0,27,3.0,0.16,401.93,no,no,1,24,1,2,Robin Ray,Female
yes,0,30,3.15,0.07,179.18,yes,no,1,19,1,9,Sierra James,Female
no,0,38,5.97,0.0,0.0,yes,no,1,3,1,19,William Thompson,Male
yes,0,31,2.6,0.08,182.17,no,no,0,5,1,0,Michael Webb,Male
no,0,47,8.4,0.0,0.0,yes,no,3,6,1,0,Sabrina Walker,Female
yes,0,21,1.95,0.04,61.95,no,no,0,40,0,4,Mark Perkins,Male
yes,0,36,3.0,0.03,80.83,yes,no,3,134,0,4,Lauren Nelson,Female
yes,0,23,2.8,0.0,8.33,yes,no,0,12,1,3,Kevin Hunter,Male
yes,1,25,4.55,0.04,169.06,yes,no,1,42,1,10,Sarah Griffin,Female
yes,0,21,1.99,0.03,57.98,no,no,2,8,1,5,Philip Jones,Male
yes,0,48,4.5,0.05,203.13,no,no,2,17,1,0,Sydney Swanson,Female
no,0,35,4.0,0.0,0.0,no,no,2,70,1,1,Colleen Mooney,Female
yes,0,39,3.5,0.06,181.02,yes,no,1,42,1,0,Jesus Green,Male
no,1,27,2.15,0.0,0.0,no,no,0,97,1,1,Tyler Flores,Male
no,0,23,1.62,0.0,0.0,no,no,0,32,1,7,Jason Miller,Male
yes,0,31,3.5,0.17,483.06,no,no,1,14,0,0,Andrea Miller,Female
yes,0,26,2.9,0.01,15.94,yes,yes,1,26,1,3,Audrey Ramos,Female
yes,0,39,3.41,0.06,180.66,no,yes,1,120,1,7,Jim Perkins,Male
yes,0,24,4.0,0.0,4.58,no,yes,2,48,1,4,Jason Hall,Male
yes,0,27,2.6,0.88,1902.0,no,no,0,4,1,7,Becky Dunn,Female
yes,0,24,2.07,0.21,356.78,no,no,0,4,1,17,Debra Wolf,Female
yes,0,44,2.4,0.0,0.0,no,no,0,36,1,11,George Marsh,Male
yes,0,25,3.42,0.01,24.58,no,no,0,3,1,0,Kimberly Lee,Female
yes,0,21,6.7,0.05,302.25,no,no,0,8,1,6,Sean Price,Male
yes,0,40,5.43,0.01,33.22,no,no,0,14,1,11,Michael Walker,Not Declared
yes,0,24,1.62,0.01,13.69,no,no,0,12,0,4,Amanda Friedman,Not Declared
yes,0,31,2.42,0.06,116.35,no,no,0,24,1,7,Anne Figueroa,Female
yes,0,24,3.4,0.05,144.4,no,no,0,12,1,8,Natasha Harris,Female
yes,0,47,3.6,0.04,113.75,yes,yes,2,120,1,12,Emma Johnson,Female
yes,0,27,2.5,0.09,184.94,no,no,0,12,1,8,Raymond Holloway,Male
yes,0,49,1.75,0.01,15.33,yes,no,1,38,1,3,Wayne Duncan,Male
yes,0,32,2.5,0.05,113.18,no,no,0,8,1,5,Bobby Santos,Male
yes,0,35,4.5,0.01,37.58,yes,no,3,144,1,3,Joseph Cox,Male
no,1,26,2.47,0.0,0.0,yes,no,0,14,1,20,Ronnie Cortez,Male
yes,0,20,2.7,0.07,156.9,no,no,1,38,1,10,Robert Alexander,Male
no,0,34,2.4,0.0,0.0,no,no,0,27,1,2,James Williams,Male
yes,0,49,6.9,0.06,349.2,yes,no,3,160,0,0,Hannah Marshall,Female
yes,0,40,4.8,0.15,615.12,yes,no,3,122,1,17,Ashley Marsh,Female
yes,0,20,1.92,0.13,208.08,no,no,0,84,1,6,Brittany Bennett,Female
yes,0,40,2.8,0.04,88.74,no,no,3,19,0,0,Madison Murphy,Female
yes,0,25,1.69,0.02,34.52,no,no,0,3,0,16,John Foley,Male
yes,0,29,3.5,0.13,366.74,no,no,0,19,1,0,Danielle Moran,Female
yes,1,40,2.25,0.02,44.0,no,no,0,86,1,10,Kevin Johnson,Not Declared
no,2,30,2.32,0.0,0.0,no,no,1,17,1,8,Mark Williams,Male
yes,0,30,4.0,0.09,299.89,yes,no,1,37,0,6,Brian Holder,Male
yes,0,40,4.5,0.1,359.12,no,no,5,2,1,0,David Bell,Male
yes,0,23,3.18,0.09,246.57,no,no,0,17,1,3,Jason Martinez,Male
yes,0,23,3.0,0.03,63.99,no,no,0,3,1,0,Jaime Nichols,Female
yes,0,31,3.0,0.02,51.64,yes,no,2,44,0,12,Thomas Smith,Male
no,0,24,2.0,0.0,0.0,no,no,0,7,0,6,Fred Anderson,Male
